Constituency_No,Year,Position,Votes,Candidate_Type,Valid_Votes,Electors,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,ENOP,Party_ID,last_poll,Contested,Recontest
1,2019,1,95308.0,1,207296,318471.0,15,65.09,45.98,1407.0,0.68,2.38,3482.0,True,4.0,True
1,2019,1,562190.0,2,1074538,1451418.0,10,74.03,52.32,224089.0,20.85,2.7,8615.0,True,1.0,False
2,2019,1,534544.0,1,1157329,1553860.0,9,74.48,46.19,6653.0,0.57,2.38,8300.0,True,1.0,False
3,2019,1,578418.0,1,1217890,1503980.0,14,80.98,47.49,48036.0,3.94,2.38,8615.0,True,1.0,False
4,2019,1,436906.0,1,1239754,1829300.0,14,67.77,35.24,4414.0,0.36,3.45,8615.0,True,1.0,False
5,2019,1,586226.0,1,1238491,1521363.0,10,81.41,47.33,89192.0,7.2,2.63,8615.0,True,1.0,False
6,2019,1,537630.0,1,1234655,1563930.0,15,78.95,43.54,25738.0,2.08,2.7,8615.0,True,1.0,False
7,2019,1,485958.0,3,1232895,1459556.0,10,84.47,39.42,39795.0,3.23,3.03,8615.0,True,1.0,False
8,2019,1,582024.0,1,1250427,1534256.0,11,81.5,46.55,121634.0,9.73,2.63,8615.0,True,1.0,False
9,2019,1,449234.0,1,1177738,1439691.0,15,81.8,38.14,32676.0,2.77,3.03,8615.0,True,1.0,False
10,2019,1,676809.0,1,1327923,1594950.0,10,83.26,50.97,165925.0,12.5,2.44,8615.0,True,1.0,False
11,2019,1,572850.0,1,1244570,1473347.0,12,84.47,46.03,60238.0,4.84,2.56,8615.0,True,4.0,True
12,2019,1,575498.0,1,1277711,1652994.0,15,77.3,45.04,8726.0,0.68,2.5,8300.0,True,2.0,True
13,2019,1,587918.0,1,1351474,1706119.0,19,79.21,43.5,4205.0,0.31,2.56,8300.0,True,2.0,True
14,2019,1,745557.0,1,1437420,1670391.0,13,86.05,51.87,154002.0,10.71,2.27,8615.0,True,1.0,False
15,2019,1,598257.0,3,1266492,1468671.0,13,86.23,47.24,16065.0,1.27,2.33,8615.0,True,1.0,False
16,2019,1,739202.0,1,1342368,1556469.0,13,86.24,55.07,214851.0,16.01,2.22,8615.0,True,6.0,True
17,2019,1,720888.0,1,1299093,1603220.0,20,81.03,55.49,250119.0,19.25,2.27,8615.0,True,1.0,False
18,2019,1,605462.0,1,1188327,1573009.0,16,75.54,50.95,149067.0,12.54,2.44,8615.0,True,1.0,False
19,2019,1,695208.0,1,1342306,1664160.0,14,80.66,51.79,141428.0,10.54,2.27,8615.0,True,1.0,False
